num,Year,districts,Total,Totalu5,ZS
77,2014,ZOGBODOMEY,95673,15786,Bohicon-Za-kpota-Zogbodomey  
78,2016,BANIKOARA,268911,47951,Banikoara (ZS)  
79,2016,GOGOUNOU,128169,24288,Kandi-Gogounou-Ségbana  
80,2016,KANDI,195531,35887,Kandi-Gogounou-Ségbana  
81,2016,KARIMAMA,72363,13479,Malanville-Karimama  
82,2016,MALANVILLE,183917,33282,Malanville-Karimama  
83,2016,SEGBANA,97150,19028,Kandi-Gogounou-Ségbana  
84,2016,BOUKOUMBE,89919,15480,Natitingou-Boukoumbé-Toucountouna  
85,2016,COBLY,73727,13728,Tanguiéta-Cobly-Matéri  
86,2016,KEROU,109273,21552,Kouandé-Péhunco-Kérou  
87,2016,KOUANDE,121644,21924,Kouandé-Péhunco-Kérou  
88,2016,MATERI,124281,21405,Tanguiéta-Cobly-Matéri  
89,2016,NATITINGOU,113249,17202,Natitingou-Boukoumbé-Toucountouna  
90,2016,PEHUNCO,85302,16250,Kouandé-Péhunco-Kérou  
91,2016,TANGUIETA,81701,13959,Tanguiéta-Cobly-Matéri  
92,2016,TOUCOUNTOUNA,43382,7204,Natitingou-Boukoumbé-Toucountouna  
93,2016,ABOMEY-CALAVI,715813,107776,Abomey-Calavi-So-ava  
94,2016,ALLADA,139062,21635,Allada-Toffo-Zè  
95,2016,KPOMASSE,73776,10692,Ouidah-Kpomassè-Tori-Bossito  
96,2016,OUIDAH,176712,27919,Ouidah-Kpomassè-Tori-Bossito  
97,2016,SO-AVA,129285,22859,Abomey-Calavi-So-ava  
98,2016,TOFFO,110787,16994,Allada-Toffo-Zè  
99,2016,TORI-BOSSITO,62852,9982,Ouidah-Kpomassè-Tori-Bossito  
100,2016,ZE,116598,19419,Allada-Toffo-Zè  
101,2016,BEMBEREKE,143145,24833,Bembèrèkè-Sinendé  
102,2016,KALALE,184180,38520,Nikki-Kalalé-Pèrèrè  
103,2016,N'DALI,123895,22979,N'Dali-Parakou  
104,2016,NIKKI,164931,32444,Nikki-Kalalé-Pèrèrè  
105,2016,PARAKOU,278620,38960,N'Dali-Parakou  
106,2016,PERERE,86143,18403,Nikki-Kalalé-Pèrèrè  
107,2016,SINENDE,99976,18993,Bembèrèkè-Sinendé  
108,2016,TCHAOUROU,243351,45132,Tchaourou (ZS)  
109,2016,BANTE,116890,17798,Savalou-Bantè  
110,2016,DASSA-ZOUME,122278,18767,Dassa-Glazoué  
111,2016,GLAZOUE,135702,19367,Dassa-Glazoué  
112,2016,OUESSE,154881,22737,Savè-Ouèssè  
113,2016,SAVALOU,157643,25568,Savalou-Bantè  
114,2016,SAVE,95074,13649,Savè-Ouèssè  
115,2016,APLAHOUE,186609,29666,Aplahoué-Djakotomey-Dogbo  
116,2016,DJAKOTOME,146169,21574,Aplahoué-Djakotomey-Dogbo  
117,2016,DOGBO,112392,15643,Aplahoué-Djakotomey-Dogbo  
118,2016,KLOUEKANME,140246,22502,Klouékamè-Toviklin-Lalo  
119,2016,LALO,130789,20598,Klouékamè-Toviklin-Lalo  
120,2016,TOVIKLIN,96638,14662,Klouékamè-Toviklin-Lalo  
121,2016,BASSILA,141875,23172,Bassila (ZS)  
122,2016,COPARGO,77364,11037,Djougou-Ouaké-Copargo  
123,2016,DJOUGOU,292071,47631,Djougou-Ouaké-Copargo  
124,2016,OUAKE,81018,11710,Djougou-Ouaké-Copargo  
125,2016,COTONOU,740519,98910,Cotonou  
126,2016,ATHIEME,61599,8962,Lokossa-Athiémè  
127,2016,BOPA,105002,15456,Comè-Grand popo-Houèyogbé-Bopa  
128,2016,COME,87235,12266,Comè-Grand popo-Houèyogbé-Bopa  
129,2016,GRAND-POPO,62857,8657,Comè-Grand popo-Houèyogbé-Bopa  
130,2016,HOUEYOGBE,111123,15873,Comè-Grand popo-Houèyogbé-Bopa  
131,2016,LOKOSSA,114469,16592,Lokossa-Athiémè  
132,2016,ADJARRA,106249,16819,Akpro-missérété-Avrankou-Adjarra  
133,2016,ADJOHOUN,82146,12579,Adjohoun-Bonou-Dangbo  
134,2016,AGUEGUES,48599,7555,Porto-Novo-Sèmè-Kpodji-Aguégués  
135,2016,AKPRO-MISSERETE,114174,21203,Akpro-missérété-Avrankou-Adjarra  
136,2016,AVRANKOU,139649,23500,Akpro-missérété-Avrankou-Adjarra  
137,2016,BONOU,48366,7292,Adjohoun-Bonou-Dangbo  
138,2016,DANGBO,105161,17134,Adjohoun-Bonou-Dangbo  
139,2016,PORTO-NOVO,288263,39378,Porto-Novo-Sèmè-Kpodji-Aguégués  
140,2016,SEME-KPODJI,242874,38270,Porto-Novo-Sèmè-Kpodji-Aguégués  
141,2016,ADJA-OUERE,126815,19716,Pobè-Kétou-Adja-ouèrè  
142,2016,IFANGNI,121025,19216,Sakété-Ifangni  
143,2016,KETOU,176576,27991,Pobè-Kétou-Adja-ouèrè  
144,2016,POBE,134880,20748,Pobè-Kétou-Adja-ouèrè  
145,2016,SAKETE,124422,16939,Sakété-Ifangni  
146,2016,ABOMEY,100624,13464,Djidja-Abomey-Agbangnizoun  
147,2016,AGBANGNIZOUN,79121,11869,Djidja-Abomey-Agbangnizoun  
148,2016,BOHICON,187341,28216,Bohicon-Za-kpota-Zogbodomey  
149,2016,COVE,55889,8058,Covè-Zagnanado-Ouinhi  
150,2016,DJIDJA,134733,21529,Djidja-Abomey-Agbangnizoun  
151,2016,OUINHI,64760,10000,Covè-Zagnanado-Ouinhi  
152,2016,ZAGNANADO,60049,8828,Covè-Zagnanado-Ouinhi  
153,2016,ZA-KPOTA,144849,23867,Bohicon-Za-kpota-Zogbodomey  
154,2016,ZOGBODOMEY,101353,16148,Bohicon-Za-kpota-Zogbodomey  
155,2018,BANIKOARA,284655,49898,Banikoara (ZS)  
156,2018,GOGOUNOU,135673,25283,Kandi-Gogounou-Ségbana  
157,2018,KANDI,206979,37340,Kandi-Gogounou-Ségbana  
158,2018,KARIMAMA,76600,14025,Malanville-Karimama  
159,2018,MALANVILLE,194685,34609,Malanville-Karimama  
160,2018,SEGBANA,102838,19820,Kandi-Gogounou-Ségbana  
161,2018,BOUKOUMBE,95183,16054,Natitingou-Boukoumbé-Toucountouna  
162,2018,COBLY,78043,14312,Tanguiéta-Cobly-Matéri  
163,2018,KEROU,115671,22464,Kouandé-Péhunco-Kérou  
164,2018,KOUANDE,128766,22787,Kouandé-Péhunco-Kérou  
165,2018,MATERI,131557,22271,Tanguiéta-Cobly-Matéri  
166,2018,NATITINGOU,119880,17800,Natitingou-Boukoumbé-Toucountouna  
167,2018,PEHUNCO,90297,16924,Kouandé-Péhunco-Kérou  
168,2018,TANGUIETA,86485,14512,Tanguiéta-Cobly-Matéri  
169,2018,TOUCOUNTOUNA,45922,7487,Natitingou-Boukoumbé-Toucountouna  
170,2018,ABOMEY-CALAVI,757724,111330,Abomey-Calavi-So-ava  
171,2018,ALLADA,147205,22410,Allada-Toffo-Zè  
172,2018,KPOMASSE,78095,11068,Ouidah-Kpomassè-Tori-Bossito  
173,2018,OUIDAH,187058,28893,Ouidah-Kpomassè-Tori-Bossito  
174,2018,SO-AVA,136855,23761,Abomey-Calavi-So-ava  
175,2018,TOFFO,117274,17605,Allada-Toffo-Zè  
176,2018,TORI-BOSSITO,66533,10345,Ouidah-Kpomassè-Tori-Bossito  
177,2018,ZE,123424,20153,Allada-Toffo-Zè  
178,2018,BEMBEREKE,151526,25784,Bembèrèkè-Sinendé  
179,2018,KALALE,194964,40202,Nikki-Kalalé-Pèrèrè  
180,2018,N'DALI,131149,23874,N'Dali-Parakou  
181,2018,NIKKI,174588,33798,Nikki-Kalalé-Pèrèrè  
182,2018,PARAKOU,294933,40165,N'Dali-Parakou  
183,2018,PERERE,91187,19203,Nikki-Kalalé-Pèrèrè  
184,2018,SINENDE,105830,19772,Bembèrèkè-Sinendé  
185,2018,TCHAOUROU,257599,46958,Tchaourou (ZS)  
186,2018,BANTE,123734,18438,Savalou-Bantè  
187,2018,DASSA-ZOUME,129438,19435,Dassa-Glazoué  
188,2018,GLAZOUE,143648,20025,Dassa-Glazoué  
189,2018,OUESSE,163950,23538,Savè-Ouèssè  
190,2018,SAVALOU,166873,26514,Savalou-Bantè  
191,2018,SAVE,100640,14110,Savè-Ouèssè  
192,2018,APLAHOUE,197535,30819,Aplahoué-Djakotomey-Dogbo  
193,2018,DJAKOTOME,154727,22387,Aplahoué-Djakotomey-Dogbo  
194,2018,DOGBO,118973,16199,Aplahoué-Djakotomey-Dogbo  
195,2018,KLOUEKANME,148457,23366,Klouékamè-Toviklin-Lalo  
196,2018,LALO,138447,21410,Klouékamè-Toviklin-Lalo  
197,2018,TOVIKLIN,102296,15223,Klouékamè-Toviklin-Lalo  
198,2018,BASSILA,150182,24039,Bassila (ZS)  
199,2018,COPARGO,81893,11461,Djougou-Ouaké-Copargo  
200,2018,DJOUGOU,309172,49452,Djougou-Ouaké-Copargo  
201,2018,OUAKE,85762,12125,Djougou-Ouaké-Copargo  
202,2018,COTONOU,783877,101917,Cotonou  
203,2018,ATHIEME,65206,9274,Lokossa-Athiémè  
204,2018,BOPA,111150,16036,Comè-Grand popo-Houèyogbé-Bopa  
205,2018,COME,92342,12658,Comè-Grand popo-Houèyogbé-Bopa  
206,2018,GRAND-POPO,66537,8940,Comè-Grand popo-Houèyogbé-Bopa  
207,2018,HOUEYOGBE,117629,16434,Comè-Grand popo-Houèyogbé-Bopa  
208,2018,LOKOSSA,121171,17159,Lokossa-Athiémè  
209,2018,ADJARRA,112470,17398,Akpro-missérété-Avrankou-Adjarra  
210,2018,ADJOHOUN,86956,13028,Adjohoun-Bonou-Dangbo  
211,2018,AGUEGUES,51444,7840,Porto-Novo-Sèmè-Kpodji-Aguégués  
212,2018,AKPRO-MISSERETE,120859,21913,Akpro-missérété-Avrankou-Adjarra  
213,2018,AVRANKOU,147826,24356,Akpro-missérété-Avrankou-Adjarra  
214,2018,BONOU,51198,7546,Adjohoun-Bonou-Dangbo  
215,2018,DANGBO,111318,17774,Adjohoun-Bonou-Dangbo  
216,2018,PORTO-NOVO,305141,40593,Porto-Novo-Sèmè-Kpodji-Aguégués  
217,2018,SEME-KPODJI,257094,39606,Porto-Novo-Sèmè-Kpodji-Aguégués  
218,2018,ADJA-OUERE,134240,20434,Pobè-Kétou-Adja-ouèrè  
219,2018,IFANGNI,128111,19908,Sakété-Ifangni  
220,2018,KETOU,181653,28566,Pobè-Kétou-Adja-ouèrè  
221,2018,POBE,142777,21497,Pobè-Kétou-Adja-ouèrè  
222,2018,SAKETE,131707,17505,Sakété-Ifangni  
223,2018,ABOMEY,106515,13905,Djidja-Abomey-Agbangnizoun  
224,2018,AGBANGNIZOUN,83753,12304,Djidja-Abomey-Agbangnizoun  
225,2018,BOHICON,198310,29171,Bohicon-Za-kpota-Zogbodomey  
226,2018,COVE,59161,8324,Covè-Zagnanado-Ouinhi  
227,2018,DJIDJA,142621,22371,Djidja-Abomey-Agbangnizoun  
228,2018,OUINHI,68552,10369,Covè-Zagnanado-Ouinhi  
229,2018,ZAGNANADO,63564,9132,Covè-Zagnanado-Ouinhi  
230,2018,ZA-KPOTA,153330,24819,Bohicon-Za-kpota-Zogbodomey  
231,2018,ZOGBODOMEY,107288,16758,Bohicon-Za-kpota-Zogbodomey  
232,2020,BANIKOARA,301064,51918,Banikoara (ZS)  
233,2020,GOGOUNOU,143494,26306,Kandi-Gogounou-Ségbana  
234,2020,KANDI,218910,38861,Kandi-Gogounou-Ségbana  
235,2020,KARIMAMA,81016,14586,Malanville-Karimama  
236,2020,MALANVILLE,205908,35983,Malanville-Karimama  
237,2020,SEGBANA,108767,20622,Kandi-Gogounou-Ségbana  
238,2020,BOUKOUMBE,100670,16688,Natitingou-Boukoumbé-Toucountouna  
239,2020,COBLY,82542,14902,Tanguiéta-Cobly-Matéri  
240,2020,KEROU,122339,23375,Kouandé-Péhunco-Kérou  
241,2020,KOUANDE,136189,23713,Kouandé-Péhunco-Kérou  
242,2020,MATERI,139141,23145,Tanguiéta-Cobly-Matéri  
243,2020,NATITINGOU,126791,18478,Natitingou-Boukoumbé-Toucountouna  
244,2020,PEHUNCO,95502,17619,Kouandé-Péhunco-Kérou  
245,2020,TANGUIETA,91470,15098,Tanguiéta-Cobly-Matéri  
246,2020,TOUCOUNTOUNA,48570,7804,Natitingou-Boukoumbé-Toucountouna  
247,2020,ABOMEY-CALAVI,801403,115395,Abomey-Calavi-So-ava  
248,2020,ALLADA,155690,23241,Allada-Toffo-Zè  
249,2020,KPOMASSE,82597,11474,Ouidah-Kpomassè-Tori-Bossito  
250,2020,OUIDAH,197841,30001,Ouidah-Kpomassè-Tori-Bossito  
251,2020,SO-AVA,144744,24702,Abomey-Calavi-So-ava  
252,2020,TOFFO,124034,18262,Allada-Toffo-Zè  
253,2020,TORI-BOSSITO,70368,10744,Ouidah-Kpomassè-Tori-Bossito  
254,2020,ZE,130539,20922,Allada-Toffo-Zè  
255,2020,BEMBEREKE,160260,26789,Bembèrèkè-Sinendé  
256,2020,KALALE,206202,41904,Nikki-Kalalé-Pèrèrè  
257,2020,N'DALI,138709,24811,N'Dali-Parakou  
258,2020,NIKKI,184652,35168,Nikki-Kalalé-Pèrèrè  
259,2020,PARAKOU,311935,41564,N'Dali-Parakou  
260,2020,PERERE,96443,20003,Nikki-Kalalé-Pèrèrè  
261,2020,SINENDE,111930,20567,Bembèrèkè-Sinendé  
262,2020,TCHAOUROU,272448,48844,Tchaourou (ZS)  
263,2020,BANTE,130866,19139,Savalou-Bantè  
264,2020,DASSA-ZOUME,136899,20175,Dassa-Glazoué  
265,2020,GLAZOUE,151928,20785,Dassa-Glazoué  
266,2020,OUESSE,173401,24433,Savè-Ouèssè  
267,2020,SAVALOU,176492,27574,Savalou-Bantè  
268,2020,SAVE,106442,14633,Savè-Ouèssè  
269,2020,APLAHOUE,208921,32037,Aplahoué-Djakotomey-Dogbo  
270,2020,DJAKOTOME,163646,23253,Aplahoué-Djakotomey-Dogbo  
271,2020,DOGBO,125831,16774,Aplahoué-Djakotomey-Dogbo  
272,2020,KLOUEKANME,157015,24283,Klouékamè-Toviklin-Lalo  
273,2020,LALO,146428,22257,Klouékamè-Toviklin-Lalo  
274,2020,TOVIKLIN,108193,15820,Klouékamè-Toviklin-Lalo  
275,2020,BASSILA,158839,24993,Bassila (ZS)  
276,2020,COPARGO,86614,11916,Djougou-Ouaké-Copargo  
277,2020,DJOUGOU,326994,51373,Djougou-Ouaké-Copargo  
278,2020,OUAKE,90706,12600,Djougou-Ouaké-Copargo  
279,2020,COTONOU,829063,105514,Cotonou  
280,2020,ATHIEME,68965,9616,Lokossa-Athiémè  
